ip|browser|os
109.106.197.xxx|yandexsearch|android
109.184.14.xxx|yandex_browser|windows
109.197.27.xxx|safari_mobile|ios_double
109.197.31.xxx|android_browser|android
109.237.2.xxx|chrome|windows
109.251.228.xxx|chrome|windows
109.252.1.xxx|yandexsearch|android
109.252.105.xxx|chromemobile|android
109.252.107.xxx|safari_mobile|ios_double
109.252.14.xxx|chrome|windows
109.252.15.xxx|firefox|windows
109.252.2.xxx|yandex_browser|windows
109.252.206.xxx|chromemobile|android
109.252.224.xxx|firefox|windows
109.252.62.xxx|chromium|gnu_linux
109.252.66.xxx|safari_mobile|ios_double
109.252.67.xxx|chromemobile|android
109.252.68.xxx|yandex_browser|windows
109.252.80.xxx|edge|windows
109.66.16.xxx|chrome|windows
12.176.124.xxx|googlesearch|ios_double
130.180.211.xxx|firefox|windows
130.180.212.xxx|firefox|windows
138.68.29.xxx|firefox|windows
145.255.21.xxx|safari_mobile|ios_double
165.225.66.xxx|chrome|windows
176.104.206.xxx|chromemobile|android
176.109.114.xxx|safari_mobile|ios_double
176.117.40.xxx|yandex_browser|windows
176.14.83.xxx|safari_mobile|ios_double
176.192.108.xxx|msie|windows
176.192.161.xxx|chrome|macos
176.192.21.xxx|yandex_browser|windows
176.193.118.xxx|chromemobile|android
176.193.16.xxx|chromemobile|android
176.193.247.xxx|chrome|windows
176.193.9.xxx|chromemobile|android
176.213.140.xxx|chrome|windows
176.215.75.xxx|chrome|windows
176.57.76.xxx|safari_mobile|ios_double
176.59.18.xxx|chromemobile|android
176.59.32.xxx|yandex_browser|android
176.59.33.xxx|safari_mobile|ios_double
176.59.34.xxx|chromemobile|android
176.59.35.xxx|chromemobile|android
176.59.36.xxx|safari_mobile|ios_double
176.59.37.xxx|chromemobile|android
176.59.38.xxx|chromemobile|android
176.59.39.xxx|chromemobile|android
176.59.40.xxx|chromemobile|android
176.59.41.xxx|safari_mobile|ios_double
176.59.44.xxx|safari_mobile|ios_double
176.59.45.xxx|safari_mobile|ios_double
176.59.46.xxx|yandexsearch|android
176.59.47.xxx|chromemobile|android
176.59.48.xxx|safari_mobile|ios_double
176.59.49.xxx|samsung_internet|android
176.59.51.xxx|chromemobile|android
176.59.52.xxx|safari_mobile|ios_double
176.59.53.xxx|chromemobile|android
176.59.54.xxx|chrome|windows
176.59.55.xxx|android_browser|android
176.59.66.xxx|chromemobile|android
176.60.132.xxx|operamini|android
176.62.178.xxx|yandex_browser|windows
176.62.187.xxx|chromemobile|android
176.99.202.xxx|safari_mobile|ios_double
176.99.242.xxx|safari|macos
176.99.248.xxx|yandexsearch|ios_double
178.136.210.xxx|firefox|windows
178.140.107.xxx|yandexsearch|android
178.140.241.xxx|chromemobile|android
178.140.243.xxx|opera|windows
178.140.244.xxx|chrome|windows
178.140.246.xxx|yandex_browser|windows
178.140.247.xxx|yandex_browser|macos
178.140.250.xxx|chromemobile|android
178.140.251.xxx|yandexsearch|android
178.140.253.xxx|yandexsearch|android
178.140.64.xxx|opera|windows
178.168.194.xxx|yandex_browser|windows
178.208.158.xxx|chrome|windows
178.209.110.xxx|firefox|windows
178.217.176.xxx|chrome|windows
178.34.121.xxx|chrome|windows
178.66.25.xxx|safari|macos
178.76.218.xxx|chrome|windows
185.11.51.xxx|chrome|macos
185.119.65.xxx|opera|windows
185.120.190.xxx|firefox|windows
185.13.112.xxx|chrome|windows
185.176.221.xxx|firefox|windows
185.197.32.xxx|googlesearch|ios_double
185.8.124.xxx|chromemobile|android
185.8.126.xxx|chrome|windows
185.83.240.xxx|firefox|windows
188.114.210.xxx|chrome|windows
188.123.253.xxx|yandex_browser|windows
188.162.65.xxx|chrome|macos
188.170.161.xxx|chrome|windows
188.170.75.xxx|samsung_internet|android
188.18.13.xxx|amigo|windows
188.32.183.xxx|safari_mobile|ios_double
188.32.76.xxx|safari_mobile|ios_double
192.162.242.xxx|yandexsearch|android
192.88.166.xxx|firefox|windows
193.104.149.xxx|msie|windows
193.105.175.xxx|firefox|windows
193.164.201.xxx|firefox|windows
193.164.204.xxx|safari_mobile|ios_double
193.169.203.xxx|yandex_browser|windows
193.189.68.xxx|msie|windows
193.232.107.xxx|chrome|windows
193.243.172.xxx|chrome|windows
193.243.174.xxx|safari_mobile|ios_double
194.11.29.xxx|chrome|windows
194.135.170.xxx|googlesearch|ios_double
194.135.226.xxx|chrome|windows
194.186.207.xxx|chrome|windows
194.247.17.xxx|safari_mobile|ios_double
194.247.173.xxx|chromemobile|android
194.31.240.xxx|chrome|windows
194.85.198.xxx|yandex_browser|windows
194.85.58.xxx|chrome|windows
194.87.2.xxx|msie|windows
195.124.31.xxx|msie|windows
195.146.79.xxx|chrome|windows
195.16.59.xxx|firefox|windows
195.191.239.xxx|chrome|windows
195.208.33.xxx|safari_mobile|ios_double
195.209.176.xxx|chrome|windows
195.211.193.xxx|samsung_internet|android
195.211.250.xxx|chrome|windows
195.218.131.xxx|chrome|windows
195.230.70.xxx|safari_mobile|ios_double
195.26.30.xxx|safari_mobile|ios_double
195.72.143.xxx|chrome|windows
195.9.5.xxx|firefox|windows
195.93.150.xxx|chrome|windows
2.61.35.xxx|chrome|windows
2.92.251.xxx|yandexsearch|android
2.95.192.xxx|amigo|windows
2001:67c:2660:4|opera|windows
207.102.138.xxx|chrome|gnu_linux
212.100.143.xxx|chrome|windows
212.100.149.xxx|chrome|windows
212.119.212.xxx|safari_mobile|ios_double
212.3.155.xxx|firefox|windows
212.34.42.xxx|chrome|windows
212.40.215.xxx|msie|windows
212.44.144.xxx|yandex_browser|windows
212.45.18.xxx|chrome|windows
213.110.192.xxx|chrome|windows
213.183.53.xxx|chromemobile|android
213.184.142.xxx|chrome|windows
213.184.148.xxx|chrome|windows
213.219.225.xxx|chrome|windows
213.24.127.xxx|chrome|windows
213.24.135.xxx|yandex_browser|ios_double
213.247.194.xxx|chrome|windows
213.33.144.xxx|chrome|windows
213.33.229.xxx|yandex_browser|windows
213.79.69.xxx|firefox|windows
213.79.91.xxx|chrome|windows
213.79.98.xxx|msie|windows
213.87.128.xxx|android_browser|android
213.87.129.xxx|edge|windows
213.87.130.xxx|chromemobile|android
213.87.131.xxx|chromemobile|android
213.87.132.xxx|safari_mobile|ios_double
213.87.134.xxx|safari_mobile|ios_double
213.87.135.xxx|yandex_browser|ios_double
213.87.138.xxx|safari_mobile|ios_double
